artist,title,artist_id,master_id,main_release_id,release_country,year,album_length,tracks,release_type,genres,styles,artist_profile
Arkam Asylum,Running With Scissors,224851,0,834199,UK,2003,39.8,15,['Album'],"['Electronic', 'Rock']","['Electro', 'Hard Rock', 'Industrial']","Formed in 1999, Arkam Asylum have built a fierce reputation across the UK and Europe playing filthy cut-up cyberpunk with the likes of The Chaos Engine, Icon of Coil, Sheep on Drugs, Sigue Sigue Sputnik, Gary Numan, and VNV Nation. Arkam Asylum are: Miette's Brainchild (aka Angel) on guitar apocalypse, Bug on electronica, and Amon Zero on word virus.

AA released their debut album, ""Learn to love your cancer"" in 2001, through independent label Wasp Factory Recordings, and are featured on compilations such as Wasp Factory's ""Working with Children & Animals volume 1"" and ""Moonlight Corporation v1.0"" from US label Sector19. The second album, ""Running with Scissors"", is due for release August 2003 on Wasp Factory.

Now known as Arkasai."
Darkflight,Under The Shadow Of Fear,334729,0,1301861,UK,2003,40.35,8,['Album'],['Rock'],"['Black Metal', 'Doom Metal']","Atmospheric black/doom metal duo from Varna, Bulgaria.

From the official website:
------------------------------------
Darkflight started in the year 2000, creating a mix of blackened doom metal with fantasy influenced lyrics. In the beginning of 2002, the debut demo ""Obscure"" was completed, with the demo's concept inspired by Adam Nichols's fantasy book, ""The War Of The Lords Veil"". The label Totentroll (Rage of Achilles subsidiary), who specialized in releasing 7"" vinyls of fantasy metal, proposed to release two of the demo tracks as an EP single called ""Alone Somewhere Beyond"". Meanwhile, Darkflight recorded the album ""Under The Shadow Of Fear"" and attracted the attention of the main label. They both decided to focus on releasing a full length and the 7"" EP single was cancelled. The band signed a 2 album record deal, and the album was released on June 30th, 2003.

Darkflight started recordings for the next album called ""The Northern Campaign"". In the middle of 2004, Rage of Achilles announced that it would cease to exist due to financial problems. The band used some of the unfinished album tracks and released an online Promo, while searching for a new label.

A few labels contacted the band during that time and while Darkflight didn't have enough material for a second full length, they decided to join in a split album with another band. Together, Oak Knoll Productions and Konklav Records planned a split release with the French band Ars Moriendi. Unfortunately, Oak Knoll Productions couldn't handle the manufacturing costs, as well as having very serious financial problems, resulting in the canceling of the CD.

During 2007 year the band released the 3rd demo called ""Distant Pain"" and immediately caught the attention of the US based label Ars Magna Recordings. Recording sessions took place in the winter of 2007 and the second full length album named ""Perfectly Calm"" was completed, containing some new songs, the ""Distant Pain"" demo and two of the tracks from the unreleased split album. The album was released on the 6th of June 2008 and contains 8 tracks of nearly 60 minutes of playing time. Currently the band is working on a new full length album with the temporary title ""Closure"".
"
Sputniks Down,Much Was Decided Before You Were Born,43018,0,594879,UK,2001,47.18,7,['Album'],"['Electronic', 'Rock']",['Post Rock'],"Sputniks Down were a Scottish band, made up of Andy Blue, Martin Healy and David Roy. Signed to Edinburgh's Human Condition Records, Sputniks Down (named after a song by Lou Barlow's Folk Implosion) were a three piece from Bishopbriggs on the outskirts of Glasgow. They produced instrumental electronica based on samplers, guitars, bass and keyboards.

After a handful of gigs, they were signed to Edinburgh's Human Condition record label. In January 2000, their debut EP Monotone Mountain was recorded by Tony Doogan at CaVa Studios. In 2001 they released their debut album, Much Was Decided Before You Were Born. The songs ""Atonement"" and ""Mie Scattering"" featured artists from El Hombre Trajaedo and Long Fin Killie (Luke Sutherland).

Between 2003 and 2003, they played gigs with bands including Life Without Buildings,  American Analog Set, El Hombre Trajeado, and Fly Pan Am. After a tour of Greece in 2003, the band split up."
Fallen To,The Mark,1198317,0,3005917,UK,2002,43.8,11,['Album'],['Rock'],['Nu Metal'],
Tygers Of Pan Tang,Mystical,407694,0,4632749,UK,2001,49.37,11,['Album'],['Rock'],"['Heavy Metal', 'Hard Rock']","British Heavy Metal band from Whitley Bay formed in 1978.
Tygers Of Pan Tang was part of the NWOBHM movement."
Crosstide,Seventeen Nautical Miles,1098067,0,9778795,UK,2002,0.0,10,"['Album', 'Stereo']",['Rock'],"['Indie Rock', 'Emo']","A band from Milwaukie, Oregon."
Ironsword,Ironsword,1523142,0,1866645,UK,2002,0.0,11,['Album'],['Rock'],['Heavy Metal'],Epic heavy metal band from Portugal.
The Little Explorer,The Little Explorer,1100295,0,2747168,UK,2003,0.0,8,['Album'],['Rock'],['Emo'],
Man,Undrugged,86936,0,4183562,UK,2002,49.07,11,['Album'],['Rock'],"['Acoustic', 'Blues Rock', 'Psychedelic Rock']","Welsh band founded in 1968, broke up at the end of 1976, reformed in 1983. Ex [a=The Bystanders]"
Karnataka,Delicate Flame Of Desire,1420825,0,1726424,UK,2003,61.5,9,['Album'],['Rock'],"['Folk Rock', 'Prog Rock']","Progressive Rock band from Swansea, Wales, UK"
Backworld,Of Silver Sleep,106943,0,404964,UK,2001,45.12,11,['Album'],['Rock'],"['Folk Rock', 'Neofolk']","Folk/Psychedelic project of American singer and instrumentalist Joseph Budenholzer. Collaborators and contributors include Jarboe (Swans), Rose McDowall (Sorrow), Isobel Campbell (Belle & Sebastian, Gentle Waves), David Tibet and Michael Cashmore (Current 93), Drew McDowall (Coil) and Julia Kent (Angels Of Light, Antony And The Johnsons)."
Jon Gomm,Hypertension,1216628,0,3642829,UK,2003,57.47,11,['Album'],"['Rock', 'Pop']",['Acoustic'],"Jon Gomm is an acoustic singer-songwriter with an incredible virtuoso guitar style, where he uses one acoustic guitar to create drum sounds, basslines and sparkling melodies all at the same time, and combining styles from blues and jazz to rock and pop. The emphasis is still on the soulful vocals and songwriting however, and his original material is influenced by everything from Robert Johnson to Radiohead.

Jon first laid his hands on a guitar at the age of two (actually it was a ukulele - his parents couldn’t find a guitar small enough). He started taking classical guitar lessons, wrote his first song at the age of six, and at twelve he was accompanying his father, a music critic, to blues gigs in his hometown of Blackpool. Touring musicians would often stay at the Gomm household on the understanding Jon would get a guitar lesson, meaning he had one-to-one instruction from such legends as Walter Trout, Bob Brozman, Sherman Robertson and Norman Beaker (Jack Bruce band).

On leaving school Jon turned down a place at Oxford University to attend The Guitar Institute in London. While there he paid his way through college playing jazz in café-bars, recording as a session guitarist, and even playing Country & Western in working mens clubs for line-dancers.

Eventually he heard the call of the north and moved to Leeds, where he is now based, to study on the Jazz degree course at the music college there. He decided to try his hand at performing solo, and discovered all kinds of new sounds he could make with an acoustic guitar – hitting the surface of it to make snare drum, bass drum and bongo sounds, re-tuning the strings to get bass sounds, and teasing high harmonics from the guitar for synthesizer-like effects. He worked all these techniques into his own songs, and put his years of singing blues into use.

Nowadays he tours Europe, playing at festivals from Rome to Athens, has a huge cult following and is regarded by those in the know as one of the world’s most talented and innovative acoustic guitarists. Even with only one CD so far released he is already cited as an influence by many other performers. His videos are watched thousands of times within days of appearing on Youtube, and his home-recorded CD “Hypertension” has sold over ten thousand copies with no industry backing.
"
Al Atkins,Heavy Thoughts,2202133,0,5709584,UK,2003,54.45,11,"['Album', 'Reissue']",['Rock'],['Heavy Metal'],"English heavy metal vocalist, born on 11 October 1947 in Stone Cross, West Bromwich, Birmingham, England, UK. Most known for fronting early versions of Judas Priest and co-writing songs on their first two albums including the classic Victim of Changes."
Politicide,Jihad,399737,0,2236097,UK,2002,0.0,12,['Album'],['Rock'],['Punk'],
Yay Us,"All The Heroes Are Dead, Here We Are",7983350,0,15546847,UK,2002,32.8,10,"['Album', 'Limited Edition', 'Stereo']",['Rock'],"['Indie Rock', 'Garage Rock', 'Pop Punk', 'New Wave', 'Post-Punk']",
Simian,Chemistry Is What We Are,17226,0,10237676,UK,2001,43.33,11,"['Album', 'Enhanced']","['Electronic', 'Rock']","['Abstract', 'Indie Rock']","British electronic rock group founded in Manchester in 2000 and disbanded in 2005.

Members:
Simon Lord (vocals, lead guitar, drum programming)
Alex MacNaghten (bass)
James Anthony ""Jas"" Shaw (keyboards, drum programming, percussion)
James Ford (drums, drum programming)

NOTE: Not to be confused with [a=Simian Mobile Disco], which is the band's current electronic offshoot and only consisting of [a=James Ford] and [a=James Shaw (3)]. "
50 Caliber,Internal Bleeding,1101315,0,2964233,UK,2002,13.87,5,['Mini-Album'],['Rock'],"['Hardcore', 'Deathcore', 'Metalcore']",English death metal-influenced metalcore/hardcore from London.
Colin Vearncombe,Smoke Up Close,335255,0,1237688,UK,2002,129.58,30,['Album'],['Rock'],['Acoustic'],"English musician and singer-songwriter, born 26 May 1962 in Liverpool, England, died 26 January 2016 in Cork, Ireland due to complications after car accident."
Robin George,Dangerous Music Live '85,585672,0,4623549,UK,2004,48.6,12,['Album'],['Rock'],['Pop Rock'],"British rock guitarist, singer, songwriter, and producer, born 1956, Wolverhampton, Staffordshire – died 26 April 2024, Málaga, Spain.

He  has collaborated with several artists during his career including David Byron, Phil Lynott, Glenn Hughes, Robert Plant, and John Wetton."
Voices Of Masada,Four Corners,447124,0,676122,UK,2004,42.25,8,['Album'],['Rock'],['Goth Rock'],"""Voices of Masada stop the clock of gothic music history and turn it back by a decade. ""Four Corners"" is the perfect album for those who like to cherish their gothic dreams while tapping their foot to the beat of a drum machine..."" Ascension Magazine 
""...being totally overwhelmed by the languishing, hypnotic and emotional crescendo of the song 'Shine' as well as some other beautiful moments like 'Step down' and ' fragments '. A good production, sepulchral efficient vocals, catchy tunes, what more to say ... The British scene continues to offer us gothic quality"" Dark Spirit In A Candle webzine 

""There are times you're longing for some new gothic rock stuff that will pay tribute to the legendary and influencial bands of the scene, without being copies though, having a personal air, enriching it with their influences and also bringing some fresh air to the scene, without sounding like an ""archaelogical museum"" coming straight from the 80s. One of these bands have to be Voices Of Masada without any shadow of doubt, a band that managed to release one of the best, if not the best, gothic rock releases of 2006, showing wholeheartedly that nothing's lost in this very scene that some consider as dead."" Metalstorm.net

There is a new plan... more to follow!

Eddie Martin, Danny Tartaglia and Rob Leydon have left the Band.
Sam Morrison joined the Live band
Tom Stevenson has joined the band."
Beef Conspiracy,"Hung, Drawn And Quarter Poundered",673899,0,2040777,UK,2004,26.42,9,['Album'],['Rock'],['Death Metal'],Death metal band from the United Kingdom.
Mendeed,From Shadows Came Darkness,311084,0,3420766,UK,2004,36.18,7,['Album'],['Rock'],['Heavy Metal'],"Metalcore band from Glasgow (Scotland) formed 2000 suspended 2007.

Last line-up  
Dave Proctor: Vocals  
Steph Gildea : Guitar  
Chris Lavery: Bass  
Steven Nixon: Guitar  
Kevin Matthews: Drums 
"
Adrian Shaw,String Theory,329546,0,3222524,UK,2004,64.12,10,['Album'],['Rock'],"['Space Rock', 'Psychedelic Rock', 'Acid Rock']","Born 1947, in Hampstead, London, Adrian Shaw has played with many psychedelic bands since the 1960s, including The Crazy World Of Arthur Brown and Hawkwind. Currently, he co-runs [l=Woronzow] with [a=Nick Saloman] and since 1990 has been a member of [a=Bevis Frond]."
Tyla,Fakin' Kant,817499,0,4425230,UK,2004,0.0,10,['Album'],['Rock'],[],
Red Flag 77,Stop The World,684678,0,4005068,UK,2004,0.0,13,['Album'],['Rock'],['Punk'],"Punk band from Ipswich, UK, formed in 1990."
Deliverance (15),The Executioner,3271484,0,4528442,UK,2004,40.43,9,['Album'],['Rock'],['Thrash'],"Thrash metal band formed in 1992 in Fermo, Italy."
The Infernos (4),Don't Know What You're Missin',3619334,0,8717899,UK,2004,0.0,12,['Album'],['Rock'],['Rockabilly'],
Stories And Comets,Time To Write You Out,648707,0,12135453,UK,2004,38.23,10,['Album'],['Rock'],"['Post-Hardcore', 'Alternative Rock', 'Emo']",
Skeeter (7),Possibly The Only...,4020849,0,12220896,UK,2004,0.0,11,['Album'],['Rock'],"['Pop Punk', 'Indie Rock']","Skeeter is an indie rock band from the New York City suburbs.

Band members include vocalist/guitarist Jason Petrisko, drummer Austin Faxon, and bassist Matthew Lonergan"
The Illuminati (5),An Introduction To Masonry,2116112,0,2697154,UK,2004,35.5,8,['Album'],['Rock'],"['Alternative Rock', 'Indie Rock']",
Fixit Kid,The Gracious Art Of Breaking..Limbs,1296025,0,15794811,UK,2004,0.0,10,['Album'],['Rock'],"['Post-Hardcore', 'Punk', 'Hardcore', 'Noise']",
Igor Belsky,Equilibrium,5934720,0,10693870,UK,2004,46.9,11,['Album'],['Rock'],"['Hard Rock', 'Country Rock']",
Urban Spacemen,Plainsongs,4049017,0,5522626,UK,2004,60.9,8,['Album'],['Rock'],['Psychedelic Rock'],
Noxious (7),By Word Of Mouth,2145644,0,2742754,UK,2004,0.0,10,['Album'],['Rock'],[],
Julian Garner,Your Good Self,3738014,0,5546270,UK,2004,56.63,11,['Album'],['Rock'],[],"Julian Garner began as a South-West London-based keyboard player, later becoming a Dorset-based acoustic guitarist and vocalist, operating in several fields, not least powerpop, progressive rock and classical."
RC 5,Gotta Get Away ,711423,0,19177759,UK,2004,0.0,18,['Album'],['Rock'],"['Punk', 'Rock & Roll']","Punk rock band, formed in 1997 with members from Seattle, Washington and Austin, Texas. 
Members:
Robb Clarke: Vocals & Guitar
Todd Ohashi: Guitar & Vocals
Jason Freeman: Bass & Vocals
Erick Erickson: Drums"
Yeh-Yeh,Then & Us,1428563,0,24614621,UK,2004,0.0,10,['Album'],['Rock'],['Mod'],"Yeh-Yeh is a power pop band from Blackpool in Lancashire, England. They had some local success in the mid-80s, and they released the single ""You Will Pay"" in 1986. Influences came from the popular mod style of the time, with the group looking at bands such as The Jam. However, Yeh-Yeh never were able to break through commercially to the rest of the U.K. After years of inactivity, the band reformed, and it has resumed touring, inspired by the 'Mod Aid' 20th Anniversary recording session in February 2004.
Reformed and gigging in 2020 as a 3 piece featuring 
Andy Houghton - Bass Vocals
Dean Kelly - Guitar
Emma Page - Drums"
Dosch,Money To Burn,7924767,0,15410876,UK,2004,0.0,10,['Album'],['Rock'],['Blues Rock'],
Simon Vincent (8),Out Of Here,6848637,0,12887911,UK,2004,44.73,12,['Album'],['Rock'],['Indie Rock'],
The Weathermongers,Introducing ... The Weathermongers,6781432,0,12723288,UK,2004,47.55,12,['Album'],['Rock'],"['Rock & Roll', 'Blues Rock', 'Pub Rock']",
